,labels,pred
0,0,1.0
1,0,1.0
2,1,1.0
3,1,0.9999998807907104
4,1,1.0
5,0,1.0
6,0,1.0
7,0,1.0
8,1,1.0
9,1,1.0
10,0,1.0
11,0,1.0
12,1,1.0
13,1,1.0
14,1,1.0
15,0,1.0
16,1,1.0
17,1,1.0
18,1,1.0
19,1,1.0
20,0,1.0
21,1,1.0
22,1,1.0
23,1,1.0
24,1,1.0
25,0,1.0
26,1,1.0
27,1,1.0
28,1,1.0
29,1,1.0
30,0,1.0
31,1,0.9999998807907104
32,1,1.0
33,1,1.0
34,1,1.0
35,0,1.0
36,1,1.0
37,1,1.0
38,1,1.0
39,1,0.9999998807907104
40,0,1.0
41,1,1.0
42,1,1.0
43,1,1.0
44,1,1.0
45,0,1.0
46,1,1.0
47,1,1.0
48,1,1.0
49,1,1.0
50,0,1.0
51,0,1.0
52,0,1.0
53,1,1.0
54,1,1.0
